timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2023-04-09T21:10:54,codecarbon,0b1d2013-a1fb-4592-84f2-a0708b05a4fe,0.0008308887481689,4.6300987402598076e-10,0.0005572465327594,42.5,0.0,3.0,8.156895637512209e-09,0,2.6146570841471357e-10,8.418361345926923e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:12:10,codecarbon,4423bd69-3315-4516-bd18-f0c07ca61612,0.0009589195251464,5.288299587037828e-10,0.0005514852339908,42.5,0.0,3.0,9.327795770433217e-09,0,2.8729438781738284e-10,9.615090158250596e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:12:51,codecarbon,5bf56755-b246-4618-bf21-81aeefbb8a6c,0.0008561611175537,4.656780097219679e-10,0.0005439139902224,42.5,0.0,3.0,8.193486266665988e-09,0,2.733866373697917e-10,8.466872904035781e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:13:57,codecarbon,01b5d88b-25d4-43ad-892b-67895ca2a4c2,0.0010619163513183,5.540269944402907e-10,0.0005217237626602,42.5,0.0,3.0,9.764068656497532e-09,0,3.0914942423502604e-10,1.0073218080732558e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:24:39,codecarbon,3ed79df5-d55d-47ac-b717-a2bdf8ab8e30,0.0008339881896972,4.5653349823421905e-10,0.0005474100279524,42.5,0.0,3.0,8.027421103583442e-09,0,2.7318795522054037e-10,8.300609058803982e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:34:41,codecarbon,23cb8cbb-5557-4585-9c8a-2647e5f355fc,0.0011799335479736,6.1592956384023e-10,0.0005220036034215,42.5,0.0,3.0,1.0858972867329916e-08,0,3.397464752197266e-10,1.1198719342549644e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:35:44,codecarbon,9e36b3ad-864f-45f1-8f25-014dd57bab98,0.0010459423065185,5.82771831088596e-10,0.0005571739736088,42.5,0.0,3.0,1.0211600197686092e-08,0,3.8425127665201827e-10,1.0595851474338113e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:38:13,codecarbon,495592c6-1cfe-4dfe-8681-71f518e242d7,0.0007522106170654,3.995574182934232e-10,0.0005311775840817,42.5,0.0,3.0,7.047918107774523e-09,0,2.167622248331706e-10,7.264680332607694e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:41:26,codecarbon,def60682-dd29-4c55-a74f-98b574112c7d,0.0009651184082031,5.03066513273451e-10,0.0005212484903381,42.5,0.0,3.0,8.877449565463596e-09,0,2.6921431223551435e-10,9.146663877699113e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:44:46,codecarbon,9157b61f-1a48-4756-bf09-dc24ec2e965f,0.0011272430419921,6.001939376195273e-10,0.0005324441271855,42.5,0.0,3.0,1.0554989178975424e-08,0,3.5762786865234376e-10,1.0912617047627773e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:45:30,codecarbon,7e4aab31-21ad-4764-bd5b-e99d485eaece,0.0010571479797363,5.943021840519372e-10,0.0005621750175412,42.5,0.0,3.0,1.0484622584448921e-08,0,3.208716710408529e-10,1.0805494255489774e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:49:25,codecarbon,cd595097-1cb9-4683-aca4-57054af5130a,0.0015392303466796,8.84041686852773e-10,0.0005743400841594,42.5,0.0,3.0,1.5325844287872314e-08,0,7.47640927632649e-10,1.6073485215504965e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:50:17,codecarbon,dab2ba53-f8a8-490a-912e-5ebd95064d3c,0.0010712146759033,6.0646997557746e-10,0.0005661516680268,42.5,0.0,3.0,1.0695722368028432e-08,0,3.310044606526693e-10,1.10267268286811e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T21:51:01,codecarbon,c243d490-c57f-4a02-8603-f0b30c040ef8,0.0008471012115478,4.2783601416481856e-10,0.0005050589095287,42.5,0.0,3.0,7.568630907270644e-09,0,2.1020571390787758e-10,7.778836621178523e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T22:33:25,codecarbon,3cc9bdbe-999d-408b-9b48-8ef480d7f69c,0.0009059906005859,4.936560988426208e-10,0.0005448799342105,42.5,0.0,3.0,8.688867092132571e-09,0,2.8669834136962886e-10,8.975565433502199e-09,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T22:39:55,codecarbon,02c58217-a307-4a3e-b7eb-9a12400f962e,0.0011262893676757,6.49351378281911e-10,0.0005765404494778,42.5,0.0,3.0,1.1475384235382082e-08,0,3.310044606526693e-10,1.180638869603475e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T22:44:20,codecarbon,7d7c4475-87a2-446e-8f8d-ea8ed38ca8ad,0.0018062591552734,6.842028763559131e-10,0.00037879552021,42.5,0.0,3.0,1.2088980939653186e-08,0,3.5107135772705075e-10,1.2440052297380236e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T22:48:57,codecarbon,80c96508-0313-4994-b687-e03773bd8e09,0.0012271404266357,7.123904095755684e-10,0.0005805288409645,42.5,0.0,3.0,1.2553400463528105e-08,0,3.9915243784586584e-10,1.2952552901373972e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
2023-04-09T23:27:11,codecarbon,dd101057-50a9-450c-8e10-696b9c2ee8e9,0.0017251968383789062,9.34444864590963e-10,0.0005416453611571772,42.5,0.0,3.0,1.6719102859497072e-08,0,2.7080376942952473e-10,1.6989906628926597e-08,France,FRA,,,,macOS-10.16-x86_64-i386-64bit,3.9.12,4,Intel(R) Core(TM) i5-8257U CPU @ 1.40GHz,,,,,8.0,machine,N
