Open,High,Low,Close,Volume,Dividends,Stock Splits,Date,symbol
161.85429760740018,164.19684787638462,161.22895111332699,163.89906311035156,95056600,0.0,0.0,2022-02-28,AAPL
163.48217964151624,165.36813983458504,160.77236992554904,161.99327087402344,83474400,0.0,0.0,2022-03-01,AAPL
163.17446220984053,166.1225025635734,161.74510747518676,165.3284149169922,79724800,0.0,0.0,2022-03-02,AAPL
167.22431235531155,167.6610613620527,164.325905028532,165.00086975097656,76678400,0.0,0.0,2022-03-03,AAPL
163.27373263695338,164.32589235607293,160.9014053932525,161.96348571777344,83737200,0.0,0.0,2022-03-04,AAPL
162.15207779825965,163.79980699731732,157.86401363868237,158.12210083007812,96418800,0.0,0.0,2022-03-07,AAPL
157.64564914132555,161.675625977494,154.6479755990383,156.27584838867188,131148300,0.0,0.0,2022-03-08,AAPL
160.28598540375458,162.20172253413966,158.23129920878358,161.7451171875,91454900,0.0,0.0,2022-03-09,AAPL
159.015440285688,159.20403780410948,154.8266427519836,157.34786987304688,105342000,0.0,0.0,2022-03-10,AAPL
157.7548487418145,158.1022668659156,153.35761186582167,153.58590698242188,96970100,0.0,0.0,2022-03-11,AAPL
150.3301512849662,152.98040705753849,148.9901424899154,149.50628662109375,108732100,0.0,0.0,2022-03-14,AAPL
149.7842015323834,154.41968371072298,149.26805744776613,153.94322204589844,92964300,0.0,0.0,2022-03-15,AAPL
155.8887457877453,158.81692990365133,153.317900369961,158.4099578857422,102300200,0.0,0.0,2022-03-16,AAPL
157.43719520869953,159.8095222940586,156.46444583560492,159.4323272705078,75615400,0.0,0.0,2022-03-17,AAPL
159.32315834550533,163.26380475236192,158.57870396354446,162.7675018310547,123511700,0.0,0.0,2022-03-18,AAPL
162.3009671434516,165.11997909577883,161.80466424883966,164.1571502685547,95811400,0.0,0.0,2022-03-21,AAPL
164.28617842950192,168.1672706934907,163.69062404460496,167.57171630859375,81532000,0.0,0.0,2022-03-22,AAPL
166.7478452990063,171.36345597546318,166.41034783326973,168.95143127441406,98062700,0.0,0.0,2022-03-23,AAPL
169.79515980876454,172.85238774387005,168.95145389635857,172.7829132080078,90131400,0.0,0.0,2022-03-24,AAPL
172.59430009623966,173.9839421477543,171.47265070368414,173.42808532714844,80546200,0.0,0.0,2022-03-25,AAPL
170.8969440899053,174.4306184245835,170.7282029161665,174.3015899658203,90371900,0.0,0.0,2022-03-28,AAPL
175.383514685934,177.68635218016894,175.03609661050294,177.63673400878906,100589400,0.0,0.0,2022-03-29,AAPL
177.2297825205121,178.281942327686,175.39345558809163,176.45555114746094,92633200,0.0,0.0,2022-03-30,AAPL
176.52502135745127,176.71361889297685,173.11045479794024,173.31890869140625,103049300,0.0,0.0,2022-03-31,AAPL
172.74318974597375,173.5869107518622,170.66864721596724,173.0211181640625,78751300,0.0,0.0,2022-04-01,AAPL
173.27919549120713,177.17020826856418,173.15015189517956,177.12057495117188,76468400,0.0,0.0,2022-04-04,AAPL
176.18753994253504,176.98162765879266,173.1303120798194,173.7655792236328,73401800,0.0,0.0,2022-04-05,AAPL
171.08554338510487,172.34615704422512,168.8720366002275,170.55946350097656,89058800,0.0,0.0,2022-04-06,AAPL
169.89440756675302,172.07813723591178,168.59409642881602,170.86715698242188,77594700,0.0,0.0,2022-04-07,AAPL
170.5098274348722,170.5098274348722,167.94890258843537,168.8323211669922,76575500,0.0,0.0,2022-04-08,AAPL
167.46253394316406,167.7801599285002,164.27626260840876,164.5244140625,72246700,0.0,0.0,2022-04-11,AAPL
166.77762677123636,168.61393836977487,165.40782595326368,166.4202880859375,79265200,0.0,0.0,2022-04-12,AAPL
166.15229176671878,169.77529704210394,165.53688098960848,169.14002990722656,70618900,0.0,0.0,2022-04-13,AAPL
169.35840092041093,170.00360379387914,163.81965860248206,164.06781005859375,75329400,0.0,0.0,2022-04-14,AAPL
162.70793580660606,165.36812714292998,162.3605328750981,163.8494415283203,69023900,0.0,0.0,2022-04-18,AAPL
163.79982452076743,166.57912397938514,162.6980314018354,166.16221618652344,67723800,0.0,0.0,2022-04-19,AAPL
167.51213955294443,167.6312625412281,164.87181979038272,165.9934539794922,67929800,0.0,0.0,2022-04-20,AAPL
167.66104698523097,170.26166929841602,164.6832296265749,165.189453125,87227800,0.0,0.0,2022-04-21,AAPL
165.2291871722451,166.62875000059083,160.3058551726863,160.5937042236328,84882400,0.0,0.0,2022-04-22,AAPL
159.92864795064895,161.9634929500165,157.2883279295491,161.67564392089844,96046400,0.0,0.0,2022-04-25,AAPL
161.05030892235288,161.13963981923527,155.56119945088295,155.64060974121094,95623200,0.0,0.0,2022-04-26,AAPL
154.7571842325419,158.60848469409962,154.23110433513887,155.4123077392578,88063200,0.0,0.0,2022-04-27,AAPL
